Date,Question,Answer A,Answer B,Answer C,Answer D
2026-07-13,How do you Transport clean linen for Discharge?,Soil Linen Bag,Clear Trash Bag,In Hand,Doesn't Matter
2026-07-14,How many steps are in a Daily Clean?,7 Steps,10 Steps,4 Steps,5 Steps
2026-07-15,How many steps are in a Discharge clean?,5 Steps,8 Steps,7 Steps,9 Steps
2026-07-16,What is the expected time spent completing a Daily?,5-20 Minutes,3-5 Minutes,5-10 Minutes,5-7 Minutes
2026-07-17,What do P.A.S.S. stand for?,"Pull, Aim, Squeeze, Sweep","Pull, Arm, Squeeze, Sweep","Pull, Aim, Squirt, Sweep","Pull. Aim, Squeeze, Swell"
2026-07-20,What do R.A.C.E. stand for?,"Rescue, Alarm,Contain,Empty","Rescue, Alarm, Contain, Extinguished","Replace, Alarm, Contain, Extinguished","Rescue, Aloud, Contain, Extinguished"
2026-07-21,What is the dwell time for Oxycide?,3 Minutes,10 Minutes,8 Minutes,5 Minutes
2026-07-22,What does TAT mean?,Turn Alnost Then,Turn Around Time,Turn Ahead Time,Turn Around Tent
2026-07-23,What is the difference in a Discharge and Terminal Clean?,Walls And Tables,Ceiling And Cabinets,Ceiling And Walls,Windows And Walls
2026-07-24,How long should you run water?,5 Minutes,10 Minutes,8 Minutes,6 Minutes
2026-07-27,What bacteria grows in standing water?,Lemonanella,Bacteria,Mold,Legionella
2026-07-28,How long do wash your hands?,15-20 Seconds,10-15 Seconds,15-25 Seconds,5-10 Seconds
2026-07-29,What item goes on the top shelf?,Bags,Crème Cleanser,Bowl Mop Container,Tent Cards
2026-07-30,What item goes on the 1st shelf?,Tissue,Toliet Strips,Paper Towels,Soap
2026-07-31,What item goes on the 2nd shelf?,Sanitizer,Tent Cards,Trash Bags,Paper Towels
2026-08-03,What item goes on the 3rd shelf?,Sanitizer,Gloves,Trash Bags,Tissue
2026-08-04,What chemical(s) goes in the bowl mop container?,QC 40,QC 50,Oxycide,Bleach
2026-08-05,When should we use a toilet strip?,Daily Clean,Once A Day,Discharge Clean,Once A Week
2026-08-06,What is standard precaution?,Gown,Gloves,Goggles,Bonnet
2026-08-07,Gloving and mask procedure?,"Sanitize, Mask, Glove","Glove, Sanitize, Mask","Sanitize. Glove, Mask","Mask, Sanitize, Glove"
2026-08-10,Proper lifting technique is to lift with your ___ not with your_____.,"Back, Knees","Knees, Back","Legs, Back",Back. Legs
2026-08-11,Name a bloodborne pathogen?,Blood,Flu,C. Diff,Heptatits B
2026-08-12,How often do we change our gloves during a daily?,Never,2 Times,1 Time,3 Times
2026-08-13,How many oz to saturate microfiber cloths?,64Oz,62Oz,32Oz,68Oz
2026-08-14,How many oz to saturate microfiber mops?,124Oz,130Oz,128Oz,129Oz
2026-08-17,what is the purpose of the red outlets?,Decoration,Continued Power During Outage,Use In Case Of A Fire,Save Space
2026-08-18,How often do you use Crème Cleanser?,Only When Needed,Once A Day Or When Needed,Once A Week Or When Needed,Once A Shift Or When Needed
2026-08-19,What is Donning and Doffing?,A Type Of PPE,How To Tie And Put On Gloves,Pulling Off And Putting On PPE,Putting On And Taking Off PPE
2026-08-20,Full red cans must be ____ during transport?,Locked,Empty,Labled,Requested
2026-08-21,How do we get rid of germs?,Sanitizing,Wipe With Dry Cloth,"Nothing, There Are No Germs",Spray Lysol
2026-08-24,What is the first thing we clean in a discharge?,Bathroom,Door Knob,Bed,Over Bed Table
2026-08-25,What is a part of our uniform?,Badge,Under Shirt,Jacket,Silicone Watch Band
2026-08-26,What is a part of our uniform?,Silicone Ring Band,Slip Resistance,Sweat Shirt,Retractable Clip
2026-08-27,What area(s) do we use 40?,Soil Hold/Linen Room,Discharge/Clean Hold,Daily/Public Restrooms,Or/Procedure Areas
2026-08-28,What device do we use to put a room in progress?,Rover Phone,Rover App On Personal Phone,Ipad,Rover Ascom
2026-08-31,Which surface is considered a High-touch area?,Bed Rail,Ceiling Light,Precaution Sign,TV
2026-09-01,Which surface is considered a High-touch area?,Casters,Door Knob,Bible In Drawer,Floor
2026-09-02,Which surface is considered a High-touch area?,Vents,Sprinkler Head,Flush Value,Strobe Light
2026-09-03,Which surface is considered a High-touch area?,Vents,TV,Paper Taped On The Wall,Mirror
2026-09-04,Where can you find SDS?,Red And Yellow Binder,People Connect On An Advocate Computer,Google It On Your Phone,In Manager'S Office
2026-09-07,What is the name of the company of your leadership with EVS,Airmark,Armark,Aramark,Amtrac
2026-09-08,What is the goal for Total Turnaround Time?,65 Minutes,30 Mintues,45 Minutes,35 Minutes
2026-09-09,What is the goal for Beds Cleaned Under 60 Minutes?,60%,100%,50%,40%
2026-09-10,How often should patient room bathrooms be cleaned,Once A Week,Every Other Day,Once Daily,Visibly Dirty
2026-09-11,What PPE should be worn when cleaning isolation rooms,None,Gloves And Gowns,Booties Only,Just A Mask
2026-09-14,Red cans must be ____ during transport?,To Finish Quickly,To Avoid Surface Damage,To Ensure Germs Are Killed,To Save Cleaning Supplies
